叱: シツ、シチ
執: シツ、シュウ
失: シツ
嫉: シツ
室: シツ
湿: シツ、シュウ
漆: シツ
疾: シツ
質: シツ、シチ、チ
実: ジツ、シツ
芝: シ
舎: シャ、セキ
写: シャ、ジャ
射: シャ
捨: シャ
赦: シャ
斜: シャ
煮: シャ
社: シャ
者: シャ
謝: シャ
車: シャ
遮: シャ
蛇: ジャ、ダ、イ、ヤ
邪: ジャ
借: シャク
尺: シャク、セキ
爵: シャク
酌: シャク
釈: シャク、セキ
若: ジャク、ニャク、ニャ
寂: ジャク、セキ
弱: ジャク
主: シュ、ス、シュウ
取: シュ
守: シュ、ス
手: シュ、ズ
朱: シュ
殊: シュ
狩: シュ
珠: シュ
種: シュ
腫: シュ、ショウ
趣: シュ
酒: シュ
首: シュ
儒: ジュ
受: ジュ
呪: ジュ、シュ、シュウ、ズ
寿: ジュ、ス、シュウ
授: ジュ
樹: ジュ
需: ジュ
囚: シュウ
収: シュウ
周: シュウ
宗: シュウ、ソウ
就: シュウ、ジュ
州: シュウ、ス
修: シュウ、シュ
愁: シュウ
拾: シュウ、ジュウ
秀: シュウ
秋: シュウ
終: シュウ
習: シュウ、ジュ
臭: シュウ
舟: シュウ
衆: シュウ、シュ
襲: シュウ
蹴: シュク、シュウ
週: シュウ
酬: シュウ、シュ、トウ
集: シュウ
醜: シュウ
住: ジュウ、ヂュウ、チュウ
充: ジュウ
十: ジュウ、ジッ、ジュッ
従: ジュウ、ショウ、ジュ
柔: ジュウ、ニュウ
汁: ジュウ
渋: ジュウ、シュウ
獣: ジュウ
縦: ジュウ
重: ジュウ、チョウ
銃: ジュウ
叔: シュク
宿: シュク
淑: シュク
祝: シュク、シュウ
縮: シュク
粛: シュク、スク
塾: ジュク
熟: ジュク
出: シュツ、スイ
術: ジュツ
述: ジュツ
俊: シュン
春: シュン
瞬: シュン
准: ジュン
循: ジュン
旬: ジュン、シュン
殉: ジュン
準: ジュン
潤: ジュン
盾: ジュン
純: ジュン
巡: ジュン
遵: ジュン
順: ジュン
処: ショ
初: ショ
所: ショ
暑: ショ
庶: ショ
緒: ショ、チョ
署: ショ
書: ショ
諸: ショ
助: ジョ
叙: ジョ
女: ジョ、ニョ、ニョウ
序: ジョ
徐: ジョ
除: ジョ、ジ
傷: ショウ
償: ショウ
勝: ショウ
匠: ショウ
升: ショウ
召: ショウ
商: ショウ
唱: ショウ
奨: ショウ、ソウ
宵: ショウ
将: ショウ、ソウ
小: ショウ
少: ショウ
尚: ショウ
床: ショウ
彰: ショウ
承: ショウ、ジョウ
抄: ショウ
招: ショウ
掌: ショウ
昇: ショウ
昭: ショウ
晶: ショウ
松: ショウ
沼: ショウ
消: ショウ
渉: ショウ
焼: ショウ
焦: ショウ
照: ショウ
症: ショウ
省: セイ、ショウ
硝: ショウ
礁: ショウ
祥: ショウ
称: ショウ
章: ショウ
笑: ショウ
粧: ショウ
紹: ショウ
肖: ショウ
衝: ショウ
訟: ショウ
証: ショウ
詔: ショウ
詳: ショウ
象: ショウ、ゾウ
賞: ショウ
鐘: ショウ
障: ショウ
上: ジョウ、ショウ、シャン
丈: ジョウ
乗: ジョウ、ショウ
冗: ジョウ
剰: ジョウ
城: ジョウ、セイ
場: ジョウ、チョウ
壌: ジョウ
嬢: ジョウ
常: ジョウ
情: ジョウ、セイ
条: ジョウ、チョウ、デキ
浄: ジョウ、セイ
状: ジョウ
畳: ジョウ、チョウ
蒸: ジョウ、セイ
譲: ジョウ
醸: ジョウ
錠: ジョウ
嘱: ショク
飾: ショク
拭: ショク、シキ
植: ショク
殖: ショク
織: ショク、シキ
職: ショク、ソク
色: ショク、シキ
触: ショク
食: ショク、ジキ
辱: ジョク
尻: コウ
伸: シン
信: シン
侵: シン
唇: シン
娠: シン
寝: シン
審: シン
心: シン
慎: シン
振: シン
新: シン
森: シン
浸: シン
深: シン
申: シン
真: シン
神: シン、ジン
紳: シン
臣: シン、ジン
芯: シン
薪: シン
親: シン
診: シン
身: シン
辛: シン
進: シン
針: シン
震: シン
人: ジン、ニン
仁: ジン、ニ、ニン
刃: ジン、ニン
尋: ジン
甚: ジン
尽: ジン、サン
腎: ジン
迅: ジン
陣: ジン
須: ス、シュ
酢: サク
図: ズ、ト
吹: スイ
垂: スイ
帥: スイ
推: スイ
水: スイ
炊: スイ
睡: スイ
粋: スイ
衰: スイ
遂: スイ
酔: スイ
随: ズイ
髄: ズイ
崇: スウ
数: スウ、ス、サク、ソク、シュ
枢: スウ、シュ
据: キョ
杉: サン
裾: キョ、コ
澄: チョウ
寸: スン
世: セイ、セ、ソウ
瀬: ライ
畝: ボウ、ホ、モ、ム
是: ゼ、シ
凄: セイ、サイ
制: セイ
勢: セイ、ゼイ
姓: セイ、ショウ
征: セイ
性: セイ、ショウ
成: セイ、ジョウ
政: セイ、ショウ
整: セイ
星: セイ、ショウ
晴: セイ
正: セイ、ショウ
清: セイ、ショウ、シン
牲: セイ
生: セイ、ショウ
盛: セイ、ジョウ
精: セイ、ショウ
聖: セイ、ショウ
声: セイ、ショウ
製: セイ
西: セイ、サイ、ス
誠: セイ
誓: セイ
請: セイ、シン、ショウ
逝: セイ
醒: セイ
青: セイ、ショウ
静: セイ、ジョウ
斉: セイ、サイ
税: ゼイ
隻: セキ
席: セキ
惜: セキ
戚: ソク、セキ
斥: セキ
昔: セキ、シャク
析: セキ
石: セキ、シャク、コク
積: セキ
籍: セキ
績: セキ
脊: セキ
責: セキ
赤: セキ、シャク
跡: セキ
切: セツ、サイ
拙: セツ
接: セツ、ショウ
摂: セツ、ショウ
折: セツ、シャク
設: セツ
窃: セツ
節: セツ、セチ
説: セツ、ゼイ
雪: セツ
絶: ゼツ
舌: ゼツ
仙: セン、セント
先: セン
千: セン
占: セン
宣: セン
専: セン
川: セン
戦: セン
扇: セン
栓: セン
泉: セン
浅: セン
洗: セン
染: セン
潜: セン
煎: セン
旋: セン
線: セン
繊: セン
羨: セン、エン
腺: セン
船: セン
薦: セン
詮: セン
践: セン
選: セン
遷: セン
銭: セン、ゼン
鮮: セン
前: ゼン
善: ゼン
漸: ゼン
然: ゼン、ネン
全: ゼン
禅: ゼン、セン
繕: ゼン
膳: ゼン、セン
塑: ソ
措: ソ
曽: ソウ、ソ、ゾウ
狙: ソ、ショ
疎: ソ、ショ
礎: ソ
祖: ソ
租: ソ
粗: ソ
素: ソ、ス
組: ソ
訴: ソ
阻: ソ
遡: ソ、サク
僧: ソウ
創: ソウ、ショウ
双: ソウ
倉: ソウ
喪: ソウ
壮: ソウ
奏: ソウ
爽: ソウ
層: ソウ
想: ソウ、ソ
捜: ソウ、シュ、シュウ
掃: ソウ、シュ
挿: ソウ
操: ソウ、サン
早: ソウ、サッ
曹: ソウ、ゾウ
巣: ソウ
槽: ソウ
燥: ソウ
争: ソウ
痩: ソウ、チュウ、シュウ、シュ
相: ソウ、ショウ
窓: ソウ、ス
総: ソウ
草: ソウ
荘: ソウ、ショウ、チャン
葬: ソウ
藻: ソウ
装: ソウ、ショウ
走: ソウ
送: ソウ
遭: ソウ
霜: ソウ
騒: ソウ
像: ゾウ
増: ゾウ
憎: ゾウ
臓: ゾウ
蔵: ゾウ、ソウ
贈: ゾウ、ソウ
造: ゾウ
促: ソク
側: ソク
則: ソク
即: ソク
息: ソク
捉: ソク、サク
束: ソク
測: ソク
足: ソク
速: ソク
俗: ゾク
属: ゾク、ショク
賊: ゾク
族: ゾク
続: ゾク、ショク、コウ、キョウ
卒: ソツ、シュツ
袖: シュウ
存: ソン、ゾン
孫: ソン
尊: ソン
損: ソン
村: ソン
遜: ソン
他: タ
多: タ
太: タイ、タ
汰: タ、タイ
唾: ダ、タ
堕: ダ
妥: ダ
惰: ダ
打: ダ、ダース
駄: ダ、タ
体: タイ、テイ
堆: タイ、ツイ
対: タイ、ツイ
耐: タイ
帯: タイ
待: タイ
怠: タイ
態: タイ
戴: タイ
替: タイ
泰: タイ
滞: タイ、テイ
胎: タイ
袋: タイ、ダイ
貸: タイ
退: タイ
逮: タイ
隊: タイ
代: ダイ、タイ
台: ダイ、タイ
大: ダイ、タイ
第: ダイ、テイ
題: ダイ
滝: ロウ、ソウ
卓: タク
宅: タク
択: タク
拓: タク
沢: タク
濯: タク
託: タク
濁: ダク、ジョク
諾: ダク
但: タン
達: タツ、ダ
奪: ダツ
脱: ダツ
棚: ホウ
谷: コク
誰: スイ
丹: タン
単: タン
嘆: タン
担: タン
探: タン
旦: タン、ダン
淡: タン
炭: タン
短: タン
端: タン
綻: タン
胆: タン
誕: タン
鍛: タン
団: ダン、トン
壇: ダン、タン
弾: ダン、タン
断: ダン
暖: ダン、ノン
段: ダン、タン
男: ダン、ナン
談: ダン
値: チ
知: チ
地: チ、ジ
恥: チ
池: チ
痴: チ
稚: チ、ジ
置: チ
致: チ
遅: チ
築: チク
畜: チク
竹: チク
蓄: チク
逐: チク
秩: チツ
窒: チツ
茶: チャ、サ
嫡: チャク、テキ
着: チャク、ジャク
中: チュウ
