織: 女火卜戈日
職: 尸十卜戈日
制: 竹月中弓
性: 心竹手一
政: 一一人大
勢: 土戈大尸
精: 火木手一月
製: 竹弓卜竹女
税: 
責: 手一月山金
接: 手卜井女
設: 卜口竹弓水
績: 女火手一金
舌: 竹十口 * 一十口
絶: 
銭: 
祖: 戈火月一
素: 手一女戈火
総: 
造: 卜竹土口 * 卜竹手口
像: 人弓日人
増: 
則: 月金中弓
測: 水月金弓
属: 
率: 卜戈人十
損: 手口月金
退: 卜日女
貸: 人心月山金 * 難人心月山
態: 戈心心
団: 
断: 
築: 竹一弓木
張: 弓尸一女
提: 手日一人
程: 竹木口竹土 * 竹木口一土
適: 卜卜金月
敵: 卜月人大
統: 女火卜戈山
銅: 金月一口
導: 卜山木戈
徳: 
独: 
任: 人竹土
燃: 火月大火
能: 戈月心心
破: 一口木竹水
犯: 大竹尸山
判: 火手中弓
版: 中中竹水
比: 心心
肥: 月日山
非: 中一尸卜
備: 人井竹月
俵: 人手一女
評: 卜口一火十
貧: 金尸竹金
布: 大中月
婦: 女尸一月
富: 十一口田
武: 一心卜中一
復: 竹人人日水
複: 中人日水
仏: 
編: 女火竹尸月
墓: 井日大土
弁: 戈井 * 難戈井
保: 人口木
報: 土十尸中水
豊: 井田一口井
防: 弓中卜竹尸
貿: 竹竹月山金
暴: 日井金水
務: 弓竹竹水尸 * 弓竹人大尸
夢: 井田中弓
迷: 卜火木
綿: 竹月竹女火 * 女火竹日月
輸: 十十人一弓 * 十十人一女
余: 人一木
預: 弓弓一月金
容: 十金人口
略: 田竹水口
留: 竹竹田
領: 人戈一月金
異: 田井金
遺: 卜中一金
域: 土戈口一
宇: 十一木
映: 日中月大
延: 弓大竹卜一
沿: 水金口 * 水竹弓口
我: 竹手戈
灰: 大火
拡: 
革: 井中十
閣: 日弓竹水口
株: 木竹十木
干: 一十
割: 十口中弓
巻: 
看: 竹手月山
簡: 竹日弓日
危: 弓一尸山
机: 木竹弓
揮: 手月十十
貴: 中一月山金
疑: 心大弓戈人
吸: 口弓竹水
郷: 
供: 人井金
胸: 月心山大
勤: 井一大尸
筋: 竹月大尸
系: 竹女戈火
敬: 井口人大
警: 井大卜一口
劇: 難卜人中弓 * 卜人中弓
激: 水竹尸大
穴: 十金
絹: 女火口月
権: 
憲: 十手一心
厳: 
源: 水一竹火
己: 尸山
呼: 口竹火木
誤: 卜口口女大
后: 竹一口
孝: 十大弓木
皇: 竹日一土
紅: 女火一
降: 弓中竹水手
鋼: 金月井山
刻: 卜人中弓
穀: 土木竹弓水
骨: 月月月
困: 田木 * 難田木
砂: 一口火竹
座: 戈人人土
済: 
裁: 十戈卜竹女
策: 竹木月
冊: 月月一 * 月井 * 難月井
蚕: 竹大中一戈
至: 一戈土
私: 竹木戈
姿: 戈人女 * 一人女
誌: 卜口土心
視: 戈火月山山
詞: 卜口尸一口
磁: 一口井女戈
射: 竹竹木戈
捨: 手人土口
尺: 尸人
若: 井大口
樹: 木土井戈
収: 
宗: 十示
就: 卜火戈大山
衆: 
従: 
縦: 
縮: 女火十人日
熟: 卜戈火
純: 女火心山
処: 
署: 田中十大日
諸: 卜口十大日
除: 弓中人一木
将: 
傷: 人人日竹
障: 弓中卜井十
城: 土戈尸
蒸: 井弓水火
仁: 人一一
針: 金十
垂: 竹十井一
推: 手隹
寸: 寸
