亜: つぐ
巡: めぐる、めぐり
処: ところ、おる
初: はじめ、はじめて、はつ
所: ところ、どころ、とこ
暑: あつい
緒: お、いとぐち
書: かく
諸: もろ
助: たすける、たすかる、すける、すけ
叙: ついず、ついで
女: おんな、め
序: ついで、ついで
徐: おもむろに
除: のぞく
傷: きず、いたむ、いためる
償: つぐなう
勝: かつ、まさる、すぐれる、かつ
匠: たくみ
升: ます
召: めす
商: あきなう
唱: となえる
奨: すすめる
宵: よい
将: まさに、はた、まさ、ひきいる、もって
小: ちいさい
少: すくない、すこし
尚: なお
床: とこ、ゆか
承: うけたまわる、うける
招: まねく
掌: てのひら、たなごころ
昇: のぼる
松: まつ
沼: ぬま
消: きえる、けす
渉: わたる
焼: やく、やき、やける
焦: こげる、こがす、こがれる、あせる、じれる、じらす
照: てる、てらす、てれる
省: かえりみる、はぶく
祥: さいわい、きざし、よい、つまびらか
称: たたえる、となえる、あげる、かなう、はかり、はかる、ほめる
笑: わらう、えむ
肖: あやかる
衝: つく
証: あかし
詔: みことのり
詳: くわしい、つまびらか
象: かたどる
賞: ほめる
鐘: かね
障: さわる
上: うえ、かみ、あげる、あがる、あがり、のぼる、のぼり、のぼせる、のぼす、たてまつる
丈: たけ、だけ
乗: のる、のせる
剰: あまつさえ、あまり、あまる
城: しろ
場: ば
壌: つち
嬢: むすめ
常: つね
情: なさけ
条: えだ、すじ
浄: きよめる、きよい
畳: たたむ、たたみ、かさなる
蒸: むす、むれる、むらす
譲: ゆずる
醸: かもす
嘱: しょくする、たのむ
飾: かざる、かざり
拭: ぬぐう、ふく
植: うえる、うわる
殖: ふえる、ふやす
織: おる、おり、おり
色: いろ
触: ふれる、さわる、さわ
食: くう、くらう、たべる、はむ
辱: はずかしめる
尻: しり
伸: のびる、のばす、のべる、のす
侵: おかす
唇: くちびる
寝: ねる、ねかす、いぬ、みたまや、やめる
審: つまびらか、つぶさに
心: こころ
慎: つつしむ、つつましい、つつし、つつしみ
振: ふる、ふれる、ふるう
新: あたらしい、あらた
森: もり
浸: ひたす、ひたる、つかる
深: ふかい、ふかまる、ふかめる
申: もうす、さる
真: ま、まこと
神: かみ
薪: たきぎ、まき
親: おや、したしい、したしむ
診: みる
身: み
辛: からい、つらい、かのと
進: すすむ、すすめる
針: はり
震: ふるう、ふるえる、ふるわせる、ふるわす
人: ひと
刃: は、やいば、きる
尋: たずねる、ひろ
甚: はなはだ、はなはだしい
尽: つきる、つくす、つかす、ことごとく
須: すべからく、すべし、ひげ、まつ、もちいる、もとめる
酢: す
図: え、はかる
吹: ふく
垂: たれる、たらす、たれ、なんなんとす
推: おす
水: みず
炊: たく
睡: ねむる、ねむい
粋: いき
衰: おとろえる
遂: とげる、ついに
酔: よう、よい、よ
随: まにまに、したがう
崇: あがめる
数: かず、かぞえる、しばしば、せめる、わずらわしい
枢: とぼそ、からくり
据: すえる、すわる
杉: すぎ
裾: すそ
澄: すむ、すます
世: よ
瀬: せ
畝: せ、うね
是: これ、この、ここ
凄: さむい、すごい、すさまじい
勢: いきおい、はずみ
性: さが
成: なる、なす
政: まつりごと、まん
整: ととのえる、ととのう
星: ほし
晴: はれる、はれ、はらす
正: ただしい、ただす、まさ、まさに
清: きよい、きよまる、きよめる
生: いきる、いかす、いける、うまれる、うまれる、うまれ、うまれ、うむ、おう、はえる、はやす、き、なま、なる、なす、むす
盛: もる、さかる、さかん
精: しらげる、くわしい
聖: ひじり
声: こえ
西: にし
誠: まこと
誓: ちかう
請: こう、うける
逝: ゆく、いく
醒: さます、さめる
青: あお、あおい
静: しずか、しずまる、しずめる
斉: そろう、ひとしい、ひとしく、あたる、はやい
席: むしろ
惜: おしい、おしむ
戚: いたむ、うれえる、みうち
斥: しりぞける
昔: むかし
石: いし
積: つむ、つもる、つもり
脊: せ、せい
責: せめる
赤: あか、あかい、あからむ、あからめる
跡: あと
切: きる、きり、きれる、きれ
拙: つたない
接: つぐ
摂: おさめる、かねる、とる
折: おる、おり、おり、おれる
設: もうける
窃: ぬすむ、ひそか
節: ふし、のっと
説: とく
雪: ゆき
絶: たえる、たやす、たつ
舌: した
先: さき、まず
千: ち
占: しめる、うらなう
宣: のたまう
専: もっぱら
川: かわ
戦: いくさ、たたかう、おののく、そよぐ、わななく
扇: おうぎ
泉: いずみ
浅: あさい
洗: あらう
染: そめる、そまる、しみる、しみ
潜: ひそむ、もぐる、かくれる、くぐる、ひそめる
煎: せんじる、いる、にる
旋: めぐる、いばり
線: すじ
羨: うらやむ、あまり
船: ふね
薦: すすめる
詮: せんずる、かい、あきらか
践: ふむ
選: えらぶ、える、よる
遷: うつる、うつす、みやこがえ
銭: ぜに、すき
鮮: あざやか
前: まえ
善: よい、いい、よく、よしとする
漸: ようやく、やや、ようよう、すすむ
然: しか、しかり、しかし、さ
全: まったく、すべて
禅: しずか、ゆずる
繕: つくろう
膳: かしわ、すすめる、そなえる
塑: でく
措: おく
曽: かつ、かつて、すなわち
狙: ねらう、ねらい
疎: うとい、うとむ、まばら
礎: いしずえ
粗: あらい
素: もと
組: くむ、くみ
訴: うったえる
阻: はばむ
遡: さかのぼる
創: つくる、はじめる、きず、けずしける
双: ふた、たぐい、ならぶ、ふたつ
倉: くら
喪: も
壮: さかん
奏: かなでる
爽: あきらか、さわやか、たがう
想: おもう
捜: さがす
掃: はく
挿: さす、はさむ
操: みさお、あやつる
早: はやい、はや、はやまる、はやめる
巣: す、すくう
槽: ふね
燥: はしゃぐ
争: あらそう、いかでか
痩: やせる
窓: まど、てんまど、けむだし
総: すべて、すべて、ふさ
草: くさ
荘: ほうき、おごそか
葬: ほうむる
藻: も
装: よそおう、よそおい
走: はしる
送: おくる
遭: あう、あわせる
霜: しも
騒: さわぐ、うれい、さわがしい
増: ます、まし、ふえる、ふやす
憎: にくむ、にくい、にくらしい、にくしみ
臓: はらわた
蔵: くら、おさめる、かくれる
贈: おくる
造: つくる、つくり
促: うながす
側: かわ、がわ、そば
則: のっとる、のり、すなわち
即: つく、つける、すなわち
息: いき
捉: とらえる
束: たば、たばねる、つか、つかねる
測: はかる
足: あし、たりる、たる、たす
速: はやい、はやめる、すみやか
属: さかん、つく、やから
続: つづく、つづける、つぐない
卒: そっする、おえる、おわる、ついに、にわか
袖: そで
存: ながらえる、ある、たもつ、とう
孫: まご
尊: たっとい、とうとい、たっとぶ、とうとぶ
損: そこなう、そこなう、そこねる
村: むら
遜: したがう、へりくだる、ゆずる
他: ほか
多: おおい、まさに、まさる
太: ふとい、ふとる
汰: おごる、にごる、よなげる
唾: つば、つばき
堕: おちる、くずす、くずれる
打: うつ、ぶつ
体: からだ、かたち
堆: うずたかい
対: あいて、こたえる、そろい、つれあい、ならぶ、むかう
耐: たえる
帯: おびる、おび
待: まつ
怠: おこたる、なまける
態: わざと
戴: いただく
替: かえる、かわる
滞: とどこおる
袋: ふくろ
貸: かす
退: しりぞく、しりぞける、ひく、のく、のける、どく
代: かわる、かわる、かわり、かわり、かえる、よ、しろ
台: うてな、われ、つかさ
大: おおきい
滝: たき
択: えらぶ
拓: ひらく
沢: さわ、うるおい、うるおす、つや
濯: すすぐ、ゆすぐ
託: かこつける、かこつ、かこつける
